tuman,dea_crs,dea_vrs,sfa_te,wp_som_m3
Ғиждувон,0.99823,1.0,0.96363,2524.2036
Шофиркон,0.9902,0.99492,0.96023,2332.94377
Жондор,0.91115,0.93779,0.94854,1932.86846
Бухоро,0.98247,0.98735,0.94367,2157.58977
Когон,0.93956,0.9617,0.9425,2117.18647
Қоровулбозор,0.83386,1.0,0.94067,1825.43498
Вобкент,0.98873,0.99528,0.93937,2275.92101
Олот,0.76874,0.77626,0.92942,1469.22449
Ромитан,0.93326,0.9393,0.92163,2098.07767
Қоракўл,0.76524,0.77537,0.91247,1608.97474
Пешку,0.90335,0.92056,0.87913,2027.04754
