tuman,tuman_id,zona,yil,suv_mln_m3,maydon_ming_ga,mehnat_ming_kishi,kapital_2018_mlrd,ogit_kg_ga,paxta_ulush,gala_ulush,sabzavot_ulush,bog_uzum_ulush,shorlanish_indeks,shorlanish_bazaviy,hisoblagich_qamrov,kanal_fik,deflyator,kurs_som_usd,yalpi_2018narx_mlrd,yalpi_joriy_mlrd,suv_m3_ga,yalpi_real_mln_som_ga,yalpi_mln_som_ga,wp_som_m3,wp_real_som_m3,wp_usd_m3,daromad_usd_ga,suv_sigimi_m3_mln_som,ln_yalpi_2018narx_mlrd,ln_suv_mln_m3,ln_mehnat_ming_kishi,ln_maydon_ming_ga,ln_kapital_2018_mlrd,ln_ogit_kg_ga,t
Қоровулбозор,11,oxirgi,2014,123.0,7.4,5.13,35.2,232.0,0.395,0.345,0.191,0.069,0.493,0.55,34.8,0.543,44.0,2320,125.0,55.0,16621.62162162162,16.891891891891895,7.4324324324324325,447.1544715447154,1016.260162601626,0.19273899635548078,3203.6346691519107,984.0,4.8283137373023015,4.812184355372417,1.6351056591826783,2.0014800002101243,3.5610460826040513,5.44673737166631,0
Қоровулбозор,11,oxirgi,2015,104.4,7.5,4.75,36.0,239.0,0.417,0.338,0.164,0.081,0.582,0.55,41.6,0.551,51.0,2570,117.3,59.8,13920.0,15.64,7.973333333333333,572.7969348659004,1123.5632183908046,0.2228781847727239,3102.4643320363166,890.0255754475703,4.76473475565943,4.648229675448539,1.55814461804655,2.0149030205422647,3.58351893845611,5.476463551931511,1
Қоровулбозор,11,oxirgi,2016,95.4,7.42,4.79,35.5,224.0,0.377,0.334,0.195,0.095,0.616,0.55,42.7,0.558,59.0,2965,122.5,72.3,12857.142857142857,16.50943396226415,9.743935309973047,757.8616352201258,1284.0670859538784,0.25560257511639994,3286.318822925142,778.7755102040817,4.808111029984782,4.558078578454241,1.5665304114228238,2.004179057179289,3.56953269648137,5.4116460518550396,2
Қоровулбозор,11,oxirgi,2017,108.3,7.27,4.11,44.2,259.0,0.324,0.294,0.288,0.094,0.519,0.55,47.4,0.568,74.0,5120,131.3,97.1,14896.836313617607,18.060522696011006,13.356258596973865,896.5835641735919,1212.3730378578025,0.17511397737765466,2608.6442572214582,824.8286367098249,4.877484781308751,4.684905154006945,1.4134230285081433,1.9837562915454279,3.7887247890836524,5.556828061699537,3
Қоровулбозор,11,oxirgi,2018,96.4,7.24,4.44,49.7,261.0,0.358,0.293,0.237,0.112,0.645,0.55,45.8,0.578,100.0,8340,121.6,121.6,13314.917127071823,16.795580110497237,16.795580110497237,1261.4107883817428,1261.4107883817428,0.1512482959690339,2013.8585264385176,792.7631578947369,4.800736969532067,4.5685062016165,1.4906543764441336,1.979621206397625,3.906004933102583,5.564520407322694,4
Қоровулбозор,11,oxirgi,2019,102.7,7.35,4.3,53.9,271.0,0.297,0.305,0.28,0.118,0.567,0.55,54.1,0.585,115.2,9500,151.8,174.9,13972.78911564626,20.653061224489797,23.79591836734694,1703.018500486855,1478.0915287244402,0.1792651053144058,2504.8335123523093,676.5480895915679,5.02256386496153,4.631812116934513,1.4586150226995167,1.9947003132247452,3.9871304779149512,5.602118820879701,5
Қоровулбозор,11,oxirgi,2020,90.0,7.19,4.14,58.7,259.0,0.28,0.295,0.296,0.129,0.636,0.55,56.8,0.592,132.8,10480,124.7,165.6,12517.385257301808,17.343532684283726,23.031988873435324,1840.0,1385.5555555555557,0.17557251908396945,2197.70886196902,721.7321571772253,4.825910852685991,4.499809670330265,1.4206957878372228,1.9726911717329554,4.072439726834051,5.556828061699537,6
Қоровулбозор,11,oxirgi,2021,79.4,7.06,3.94,58.4,278.0,0.288,0.226,0.356,0.13,0.695,0.55,58.8,0.603,152.4,10840,128.9,196.5,11246.458923512748,18.257790368271955,27.8328611898017,2474.8110831234258,1623.4256926952141,0.22830360545419057,2567.607120830415,615.9813809154383,4.859036909945142,4.37449836825309,1.3711807233098425,1.9544450515051506,4.067315889834181,5.627621113690637,7
Қоровулбозор,11,oxirgi,2022,100.7,7.12,4.21,65.6,273.0,0.264,0.294,0.295,0.146,0.607,0.55,68.8,0.613,175.1,11220,156.7,274.4,14143.258426966293,22.008426966292134,38.53932584269662,2724.9255213505458,1556.1072492552134,0.24286323719701833,3434.8775260870434,642.6292278238673,5.054333149361975,4.612145799724517,1.43746264769429,1.9629077254238845,4.183575695950044,5.60947179518496,8
Қоровулбозор,11,oxirgi,2023,99.5,7.03,4.13,67.0,286.0,0.228,0.241,0.385,0.146,0.551,0.55,76.2,0.624,196.3,12340,175.1,343.8,14153.627311522048,24.907539118065436,48.90469416785206,3455.2763819095476,1759.7989949748744,0.28000618978197306,3963.10325509336,568.246716162193,5.165357239291806,4.600157644164547,1.4182774069729414,1.9501867058225735,4.204692619390966,5.655991810819852,9
Қоровулбозор,11,oxirgi,2024,92.5,7.0,4.32,79.3,261.0,0.257,0.241,0.334,0.168,0.564,0.55,76.6,0.637,213.9,12780,170.6,365.0,13214.285714285714,24.37142857142857,52.14285714285714,3945.945945945946,1844.3243243243244,0.30875946368904117,4080.035770176615,542.2039859320047,5.139321635057579,4.52720864451838,1.463255402256019,1.9459101490553132,4.373238128640803,5.564520407322694,10
